MagicSchool,SpellName,SpellDescription,ActionCost,Range,SpellEffect
deceptionmagic,Hypnotize,Hypnotizes a target,Tier 1: 3 Tier 2: 5 Tier 3: 7,T1: 20ft T2: 30ft (single target) T3: 60ft (single target),T1: Per.S(8) on fail target is hypnotized for 10 seconds T2: Per.S(12) on fail target is hypnotized for 15 seconds T3: Per.S(16) on fail target is hypnotized for 30 seconds
ritualmagic,Grave Hop,Teleports the caster and others to the location of a tombstone that the caster has seen anywhere in the world. If the location no longer exists for whatever reason the spell fails,Tier 3: 6,The caser and up to 5 others,5 minutes to cast
ritualmagic,Hex,Debuffs targets with less actions and movement,Tier 1: 3 Tier 2: 5 Tier 3: 8,T1: 20ft (two targets) T2: 30ft (two targets) T3: 40ft (three targets,T1: Per.S(8) on fail targets have -1 action or -2 AP and -10ft MB for 5 seconds (instant cast) T2: Per.S(12) on fail targets has -1 action or -2 AP and -15ft MB for 10 seconds (instant cast) T3: Per.S(16) on fail targets have -2 actions or -5 AP and -20ft MB for 10 seconds (instant cast)
ritualmagic,Outer Strength,Grants otherworldly strength to targets,Tier 1: 2 Tier 2: 4 Tier 3: 7,T1: 20ft (three targets) T2: 20ft (four targets) T3: 20ft (six targets),T1: '+1 AP and +5ft MB for 1 minute (1 min. to cast) T2: +2 AP and +10ft MB for 2 minutes (2 mins. To cast) T3: +3 AP and +15ft MB for 3 minutes (4 mins. To cast)
ritualmagic,Fungal Embrace,Sprouts purple fungi on allies. When they're attacked the attacker must roll a Mys.S(10) on fail the attack doesn't land. The embrace ends once an attacker lands a hit,Tier 1: 2.5 Tier 2: 3.5 Tier 3: 5,T1: 20ft (one target) T2: 20ft (two targets) T3: 20ft (three targets),T1&2: 15 seconds to cast T3: 2 hits of protection (15 seconds to cast)
destructionmagic,Snake Bite,Conjure spectral fangs that bite a target,Tier 1: 2 Tier 2: 4 Tier 3: 6,5ft,T1: 1d6 piercing + Destruction Magic T2: 2d6 piercing + Destruction Magic T3: 3d6 piercing + Destruction Magic
destructionmagic,Poison Spike,A spectral poison spike is conjured in the casters hand and thrown,Tier 1: 1 Tier 2: 2 Tier 3: 3.5 ,T1: 15ft T2: 25ft T3: 45ft,T1: 1d2 piercing + Destruction Magic + Gum.S(5) on fail target is poisoned for 5 seconds T2: 1d4 piercing + Destruction Magic + Gum.S(10) on fail target is poisoned for 10 seconds T3: 1d6 piercing + Destruction Magic + Gum.S(16) on fail taget is poisoned for 10 seconds
destructionmagic,Elder Tentacle,A tentacle protrudes out of the center of the casters hand and pierces through multiple targets,Tier 1: 3 Tier 2: 5 Tier 3: 7,T1: 30ft (three targets) T2: 45ft (three targets) T3: 60ft (four targets),T1: 1d8 piercing + Destruction Magic T2: 2d8 piercing + Destruction Magic T3: 3d8 piercing + Destruction Magic
destructionmagic,Fungal Weight,Sprouts green fungi upon targets causing double MB cost,Tier 1: 1.5 Tier 2: 2 Tier 3: 6,T1: 20ft T2: 35ft (two targets) T3: 70ft (three targets),T1: Per.S(8) lasts 5 seconds T2: Per.S(12) lasts 10 seconds T3: Per.S(16) lasts 15 seconds
galvanismmagic,Punchbolt,Enhances the casters fist with shock damage for a single strike,Tier 1: 1 Tier 2: 2 Tier 3: 3,5ft,T1: 1d4 shock + Galvanism Magic T2: 1d6 shock + Galvanism Magic T3: 1d10 shock + Galvanism Magic
galvanismmagic,Overclock,Makes caster do more damage with anything that does shock damage,Tier 2: 1 Tier 3: 2,Self,T2: +1d4 extra shock for 10 seconds T3: +1d6 extra shock for 10 seconds 
galvanismmagic,Horripilation,Strikes fear into a target,Tier 2: 2 Tier 3: 4,T2: 30ft T3: 45ft,T2: Gum.S(9) on fail target is scared for 10 seconds T3: Gum.S(14) on fail target is scared for 15 seconds
