Skill,SkillLevel,Perk,PerkEffect
investigation,50,Investigator," When entering a room that has a trigger that opens a secret door, you know the area in which the trigger is and you have good odds when searching bodies"
investigation,75,Investigation,1 re-roll per rest
investigation,100,Investigation Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
gambit,15,Card-in-Sleeve,"When you draw a card that isn�t favorable, you can attempt to swap it out with an ace of spades (20) hidden in your sleeve. You can continue attempting this swap throughout a game"
gambit,25,Gambit,+1 to checks
gambit,50,Gambler,"You have good odds when drawing cards, rolling dice, and cheating "
gambit,75,Gambit,1 re-roll per rest
gambit,100,Gambit Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
brewing,15,Quick Fermenter,Brewing times are halved
brewing,25,Ingredient Stretcher,You only need half the ingredients to make medium and large tonics
brewing,50,Brewing,+1 to checks
brewing,75,Brew Master,"Can brew all manner of alcohol, healing items, and tonics with mobile kits"
brewing,100,Brewing Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
galvanismmagic,15,Can cast 1st tier Gal. spells,
galvanismmagic,25,Can cast 2nd tier Gal. spells. Double Down,Any spell that only targets one creature can be doubled to target two creatures. Twice per rest
galvanismmagic,50,Can cast 3rd tier Gal. spells,
galvanismmagic,75,Shocking Revelations,Can cast 1st tier spells for half the AP cost (to a minimum of .5) and all shock damage done to you is halved
galvanismmagic,100,Galvanism Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
religion,15,Missionary,Good odds on checks when in a place of worship or holy ground 
religion,25,Religion,+1 to checks
religion,50,Blessed One,"You can pray to your god with a check and on success, gain inspiration. Once per day"
religion,75,Religion,1 re-roll per rest
religion,100,Religion Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
history,15,Ain�t Repeatin� Nothin�,Gain double exp from reading a history skill book
history,25,History,+1 on checks
history,50,Historian,"When attempting to decipher ancient writing or puzzles, you have good odds"
history,75,History,1 re-roll per rest
history,100,History Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
medicine,15,Medic,+1d8 healing when using healing items on yourself or others
medicine,25,Medicine,+1 to checks
medicine,50,Angel,You re-roll all 1�s and 2�s when using healing items on yourself or others
medicine,75,Medicine,1 re-roll per rest
medicine,100,Medicine Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
healingmagic,15,Can cast 1st tier Hea. spells,
healingmagic,25,Can cast 2nd tier Hea. spells. Protector,Healing spells with a range of touch have a range of 10ft
healingmagic,50,Can cast 3rd tier Hea. spells,
healingmagic,75,�Guardian,"Half AP cost for all spells (to a minimum of .5) and if you roll a crit on a healing spell, you heal the target for the maximum dice value plus mods"
healingmagic,100,Healing M. Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
utilitymagic,15,Can cast 1st tier Uti. spells,
utilitymagic,25,Can cast 2nd tier Uti. spells. Mender,Spells that fix jams or repair are half AP cost (to a minimum of .5)
utilitymagic,50,Can cast 3rd tier Uti. spells,
utilitymagic,75,Fixin� Magician,"Can cast a 1st tier spell for no cost, twice per rest, and all spells that have a range of touch instead have a range of 10ft"
utilitymagic,100,Utility M. Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
absolutionmagic,15,Can cast 1st tier Abs. spells,
absolutionmagic,25,Can cast 2nd tier Abs. spells. Holy Warrior,Spells do an extra 1d6 holy damage
absolutionmagic,50,"Can cast 3rd tier Abs. spells, +1 to damage",
absolutionmagic,75,Right Hand of Aurelia,"Can cast a 1st tier spell for no cost, twice per rest and all ranged spells have an extra 5ft range"
absolutionmagic,100,Absolution Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
foolery,15,Crossed Fingers,People you try to deceive have bad odds on their intuition checks
foolery,25,Foolery,+1 to checks
foolery,50,Can�t BS a Bser,"Except under very rare instances, you cannot be deceived and people are more likely to believe your lies"
foolery,75,Foolery,1 re-roll per rest
foolery,100,Foolery Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
persuasion,15,Charming Smile,+1d4 on checks
persuasion,25,Persuasion,+1 to checks 
persuasion,50,Master Charmer,People are more naturally trusting of you and have lower checks when needing to be persuaded
persuasion,75,Persuasion,1 re-roll per rest
persuasion,100,Persuasion Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
barter,15,Mercantilist,You have good odds when attempting to get a discount
barter,25,Barter,+1 to checks
barter,50,Gold Thumb,"In most general stores, you have 25% off their entire inventory and they will buy your goods at 100% of their value"
barter,75,Barter,1 re-roll per rest
barter,100,Barter Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
performance,15,First Time Nerves,"If you fail the first roll, you may try again, but with bad odds. Twice per nap "
performance,25,Performance,+1 to checks
performance,50,One Man Band,"When making a performance check alone, you have good odds"
performance,75,Performance,1 re-roll per rest
performance,100,Performance Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
deceptionmagic,15,Can cast 1st tier Dec. spells,
deceptionmagic,25,Can cast 2nd tier Dec. spells. Deceiver,Spell effects last twice as long
deceptionmagic,50,Can cast 3rd tier Dec. spells,
deceptionmagic,75,Mind Ravager,Half cost for all spells (to a minimum of .5)
deceptionmagic,100,Deception M. Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
ritualmagic,15,Can cast 1st tier Rit. spells,
ritualmagic,25,Can cast 2nd tier Rit. spells. Hexer,Only half the time is needed to cast 1st and 2nd tier spells
ritualmagic,50,Can cast 3rd tier Rit. spells,
ritualmagic,75,Ritual Master,Can cast 1st and 2nd tier spells for half AP cost (to a minimum of .5 ) and 3rd tier spells only need half the time to cast
ritualmagic,100,Ritual M. Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
destructionmagic,15,Can cast 1st tier Des. spells,
destructionmagic,25,Can cast 2nd tier Des. spells. Demoralizer,"If a spell causes a target to make a save, they have -1d8 on the save"
destructionmagic,50,"Can cast 3rd tier Des. spells, +1 to damage",
destructionmagic,75,Lord Death,You re-roll all 1�s when dealing damage and half cost (to a minimum of .5 AP) for 1st tier spells
destructionmagic,100,Destruction M. Mastery,"All checks are automatic successes.�You still roll, but only for possible crits"
