WeaponName,DamageType,ActionCost,Range,Damage
Clockwork Pump-Action Shotgun,Piercing,1.5,15/25ft,1d4 + Shotguns
Clockwork Sawed-Off,Piercing,2,10/15ft,1d6 + Shotguns (can fire both barrels for 4 AP)
Clockwork Semi-Auto Shotgun,Piercing,3.5,20/35ft,1d8 + Shotguns (2 shots)
Evergladian Pump-Action Shotgun,Crushing,1.5,15/25ft,1d4 + Shotguns
Evergladian Sawed-Off,Crushing,2,10/15ft,1d6 + Shotguns (can fire both barrels for 4 AP)
Evergladian Semi-Auto Shotgun,Crushing,3.5,20/35ft,1d8 + Shotguns (2 shots)
Evergladian Break-Action Shotguns,Crushing,3,15/25ft,3d6 + Shotguns
Evergladian Elephant Killer,Crushing,5.5,10/20ft,4d8 + Shotguns
Knuckle Pads,Shock,1,5ft,1d4 + Hand-to-Hand
Shock Talons,Shock,2,5ft,1d4 + Hand-to-Hand (2 hits)
Shock Gloves,Shock,2.5,5ft,1d6 + Hand-to-Hand (2 hits)
Electric Cestus,Shock,5,5ft,1d10 + Hand-to-Hand (2 hits)
Hot Knife,Shock,0.5,5ft,1d2 no mod
Shock Axe,Shock,1.5,5ft,1d4 + Slashing Melee
Shock Whip,Shock,1,5ft,1d4 + Ropework
Tesla Whip,Shock,2,10ft,1d6 + Ropework
Electric Dai-Katana (2H),Shock,2,5ft,1d8 + Slashing Melee
Taser,Shock,0.5,5ft,1d2 no mod
Cattle Prod,Shock,1.5,5ft,1d6 + Crushing Melee
Electromallet (2H),Shock,3,5ft,1d10 + Crushing Melee
Wristbow,Shock,0.5,10/20ft,1d2 no mod
Shockbow (2H),Shock,1,15/30ft,1d4 + Archery
Electric Crossbow (2H),Shock,1.5,15/30ft,1d6 + Archery
Pylon Bow (2H),Shock,2,25/45ft,1d8 + Archery
Waning Crescent Bow (2H),Shock,2.5,40/80ft,1d10 + Archery
Electrified Standing Bow (2H),Shock,4,85/150ft,3d6 + Archery
Volt Concealed Pistol,Shock,1,15/25ft,1d4 + Pistols
Zapper Revolver,Shock,1.5,25/35ft,1d6 + Pistols
Ohm Charge Pistol,Shock,2/3,25/45ft,1d8/2d8 + Pistols
Crown Joule Double-Action Pistol,Shock,2.5,30/40ft,1d6 + Pistols (2 shots)
Watt-A-Pistol,Shock,3,35/50ft,2d8 + Pistols
Transformer Revolver,Shock,4,60/90ft,1d12 + Pistols
Amped Repeater ,Shock,1,25/50ft,1d4 + Rifles
Quad-Arc Charge Rifle,Shock,2/3/4/5,45/90ft,1d6/2d6/3d6/4d6 + Rifles
Lighting Bolt-Action Rifle,Shock,2.5,50/70ft,1d8 + Rifles
Railgun,Shock,3,60/85ft,1d12 + Rifles
Gauss Cannon,Shock,5,240/400ft,4d12 + Rifles (disintegrates target if killed. Can only be shot once every 12 hours)
Thunder Sawed-Off,Shock,3,5/10ft,2d6 + Shotguns (can fire both shots for 6 AP)
Electric Semi-Auto Shotgun,Shock,2,15/25ft,1d4 + Shotguns (2 shots)
Current Pump-Action Shotgun,Shock,1,20/30ft,1d4 + Shotguns
