Skill,SkillLevel,Perk
Medicine,100,"All checks are automatic successes. You still roll, but only for possible crits"
Healing Magic,15,Can cast 1st tier spells
Healing Magic,25,Can cast 2nd tier spells. Protector: healing spells with a range of touch have a range of 10ft
Healing Magic,50,Can cast 3rd tier spells
Healing Magic,75," Guardian: half AP cost for all spells (to a minimum of .5) and if you roll a crit on a healing spell, you heal the target for the maximum dice value plus mods"
Healing Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Utility Magic,15,Can cast 1st tier spells
Utility Magic,25,Can cast 2nd tier spells. Mender: spells that fix jams or repair are half AP cost (to a minimum of .5)
Utility Magic,50,Can cast 3rd tier spells
Utility Magic,75,"Fixin’ Magician: can cast a 1st tier spell for no cost, twice per rest, and all spells that have a range of touch instead have a range of 10ft"
Utility Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Absolution Magic,15,Can cast 1st tier spells
Absolution Magic,25,Can cast 2nd tier spells. Holy Warrior: spells do an extra 1d6 holy damage
Absolution Magic,50,"Can cast 3rd tier spells, +1 to damage"
Absolution Magic,75,"Right Hand of Aurelia: can cast a 1st tier spell for no cost, twice per rest and all ranged spells have an extra 5ft range"
Absolution Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Foolery,15,Crossed Fingers: people you try to deceive have bad odds on their intuition checks
Foolery,25,+1 to checks
Foolery,50,"Can’t BS a BSer: except under very rare instances, you cannot be deceived and people are more likely to believe your lies"
Foolery,75,1 re-roll per rest
Foolery,100,"All checks are automatic successes. You still roll, but only for possible crits"
Persuasion ,15,Charming Smile: +1d4 on checks
Persuasion ,25,+1 to checks 
Persuasion ,50,Master Charmer: people are more naturally trusting of you and have lower checks when needing to be persuaded
Persuasion ,75,1 re-roll per rest
Persuasion ,100,"All checks are automatic successes. You still roll, but only for possible crits"
Barter,15,Mercantilist: you have good odds when attempting to get a discount
Barter,25,+1 to checks
Barter,50,"Gold Thumb: in most general stores, you have 25% off their entire inventory and they will buy your goods at 100% of their value"
Barter,75,1 re-roll per rest
Barter,100,"All checks are automatic successes. You still roll, but only for possible crits"
Performance,15,"First Time Nerves: if you fail the first roll, you may try again, but with bad odds. Twice per nap "
Performance,25,+1 to checks
Performance,50,"One Man Band: when making a performance check alone, you have good odds"
Performance,75,1 re-roll per rest
Performance,100,"All checks are automatic successes. You still roll, but only for possible crits"
Deception Magic,15,Can cast 1st tier spells
Deception Magic,25,Can cast 2nd tier spells. Deceiver: spell effects last twice as long
Deception Magic,50,Can cast 3rd tier spells
Deception Magic,75,Mind Ravager: half cost for all spells (to a minimum of .5)
Deception Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Ritual Magic,15,Can cast 1st tier spells
Ritual Magic,25,Can cast 2nd tier spells. Hexer: only half the time is needed to cast 1st and 2nd tier spells
Ritual Magic,50,Can cast 3rd tier spells
Ritual Magic,75,Ritual Master: can cast 1st and 2nd tier spells for half AP cost (to a minimum of .5 ) and 3rd tier spells only need half the time to cast
Ritual Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
Destruction Magic,15,Can cast 1st tier spells
Destruction Magic,25,"Can cast 2nd tier spells. Demoralizer: if a spell causes a target to make a save, they have -1d8 on the save"
Destruction Magic,50,"Can cast 3rd tier spells, +1 to damage"
Destruction Magic,75,Lord Death: you re-roll all 1’s when dealing damage and half cost (to a minimum of .5 AP) for 1st tier spells
Destruction Magic,100,"All checks are automatic successes. You still roll, but only for possible crits"
